slug,city_name,place_name,country,[city_name_branch_name],[city_name_locale_name],[city_name_region_name],[city_name_phone_number],service_area
hagerstown,Hagertstown,Hagertstown,US,[hagertstown_branch_name],[hagertstown_locale_name],[hagertstown_region_name],[hagertstown_phone_number],"Hagertstown, MD, Chambersburg, PA, Martinsburg, WV, Cumberland, MD, Charlestown, WV"
princegeorgescounty,Prince George's County,Prince George's County,US,[princegeorge'scounty_branch_name],[princegeorge'scounty_locale_name],[princegeorge'scounty_region_name],[princegeorge'scounty_phone_number],"Washington DC, Prince Frederick, Upper Marlboro, Hyattsville, College Park, Oxon Hill, Clinton, Largo, Brandywine, La Plata"
hatfield,Hatfield,Hatfield,US,[hatfield_branch_name],[hatfield_locale_name],[hatfield_region_name],[hatfield_phone_number],"Quakertown, Doylestown, New Hope, Fort Washington, Blue Bell, Montgomeryville"
wilmington,Wilmington,Wilmington,US,[wilmington_branch_name],[wilmington_locale_name],[wilmington_region_name],[wilmington_phone_number],"Wilmington, Middletown, Elkton, Hockessin, Greenville, Claymont, Northeast, New Castle"
flemington,Flemington,Flemington,US,[flemington_branch_name],[flemington_locale_name],[flemington_region_name],[flemington_phone_number],"Flemington, Princeton, Hackettstown, Bridgewater,Hillsborough, Chester, Frenchtown, Lanvertville, Washington, Clinton"
binghamton,Binghamton,Binghamton,US,[binghamton_branch_name],[binghamton_locale_name],[binghamton_region_name],[binghamton_phone_number],"Binghamton, Ithaca, Cortland, Norwich, Vestal, Oneonta, Johnson City, Montrose, Owego, Endicott"
delmarva,Delmarva,Delmarva,US,[delmarva_branch_name],[delmarva_locale_name],[delmarva_region_name],[delmarva_phone_number],"Ocean City, Rehoboth Beach, Bethany Beach, Dover, Salisbury, Easton, Cambridge, Chincoteague, Cape Charles, Georgetown"
frederick,Frederick,Frederick,US,[frederick_branch_name],[frederick_locale_name],[frederick_region_name],[frederick_phone_number],"Thurmont, Frederick, Mt. Airy, Clarksburg, Germantown, Gaithersburg, Rockville, Silver Spring, Bethesda, Potomac"
bergencounty,Bergen County,Bergen County,US,[bergencounty_branch_name],[bergencounty_locale_name],[bergencounty_region_name],[bergencounty_phone_number],Bergen County
hudsonvalley,Hudson Valley,Hudson Valley,US,[hudsonvalley_branch_name],[hudsonvalley_locale_name],[hudsonvalley_region_name],[hudsonvalley_phone_number],Hudson Valley
erie,Erie,Erie,US,[erie_branch_name],[erie_locale_name],[erie_region_name],[erie_phone_number],"Erie, Meadville, Edinboro, North East, Albion, Girard, Union City, McKean, Corry, Fairview"
syracuse,Syracuse,Syracuse,US,[syracuse_branch_name],[syracuse_locale_name],[syracuse_region_name],[syracuse_phone_number],"Syracuse, Utica, Rome, Oswego, Fulton, Oneida, Watertown, Liverpool, Baldwinsville, Dewitt"
rochester,Rochester,Rochester,US,[rochester_branch_name],[rochester_locale_name],[rochester_region_name],[rochester_phone_number],"Rochester, Canadaigua, Auburn, Hornell, Bath, Webster, East Rochester, Fairport, Brockport, Genesio, Farmington"
boston,South Boston,South Boston,US,[southboston_branch_name],[southboston_locale_name],[southboston_region_name],[southboston_phone_number],"Boston, Hingham, Providence, Cranston, Braintree, Quincy, Taunton, Newport, Barnstable, Norwood, Attleborough, Brockton, Plymouth, Pawtucket, Weymouth "
columbus,Columbus,Columbus,US,[columbus_branch_name],[columbus_locale_name],[columbus_region_name],[columbus_phone_number],"Columbus, Groveport, Lockbourne, Westerville, Dublin, Worthington, New Albany, Upper Arlington, Grove City, Delaware"
atlanta,Atlanta,Atlanta,US,[atlanta_branch_name],[atlanta_locale_name],[atlanta_region_name],[atlanta_phone_number],"Atlanta, Marietta, Cumming, Duluth, Buford, Buckhead, Athens, Roswell, Gainesville, Peachtree City"
ft_myers,Fort Myers,Fort Myers,US,[fortmyers_branch_name],[fortmyers_locale_name],[fortmyers_region_name],[fortmyers_phone_number],"North Port, Naples, Sarasota, Fort Myers, Bradenton, Arcadia, Punta Gorda, Lehigh Acres, Sebring, North Port, Marco Island"
tampa,Tampa,Tampa,US,[tampa_branch_name],[tampa_locale_name],[tampa_region_name],[tampa_phone_number],"Tampa, Saint Petersburg, Brandon, Clearwater, Lakeland, Winter Haven, Wesley Chapel, Auburndale, Palm Harbor, Brooksville"
albany,Albany,Albany,US,[albany_branch_name],[albany_locale_name],[albany_region_name],[albany_phone_number],"Albany, Clifton Park, Ballston Spa, Saratoga, Troy, Schenectady, East Greenbush, Delmar, Latham, Guilderland"
newyorkcity,New York City,New York City,US,[newyorkcity_branch_name],[newyorkcity_locale_name],[newyorkcity_region_name],[newyorkcity_phone_number],"New York City, Brooklyn, Queens, Long Island, The Bronx"
ft_lauderdale,Fort Lauderdale,Fort Lauderdale,US,[fortlauderdale_branch_name],[fortlauderdale_locale_name],[fortlauderdale_region_name],[fortlauderdale_phone_number],"Lake Worth, Port Saint Lucie, Fort Lauderdale, Fort Pierce, Stuart, West Palm Beach, Boca Raton, Weston, Jupiter, Palm Beach Gardens, Pompano Beach, Cooper City, Parkland, Coral Springs, Miramar, Hollywood"
cleveland,Cleveland,Cleveland,US,[cleveland_branch_name],[cleveland_locale_name],[cleveland_region_name],[cleveland_phone_number],"Cleveland, Akron, Canton, Avon, Brecksville, Fairlawn, Westlake, Solon, Beachwood, Medina"
orlando,Orlando,Orlando,US,[orlando_branch_name],[orlando_locale_name],[orlando_region_name],[orlando_phone_number],"Orlando, Apopka, Oviedo, Leesburg, Kissimmee, Daytona, St. Cloud, Deltona, Clermont"
northboston,North Boston,North Boston,US,[northboston_branch_name],[northboston_locale_name],[northboston_region_name],[northboston_phone_number],"Boston, Woburn, Medford, Burlington, Reading, Andover, Wilmington, Waltham, Newton, Needham, Wellesley, Belchertown, Worcester"
beaufort,Beaufort,Beaufort,US,[beaufort_branch_name],[beaufort_locale_name],[beaufort_region_name],[beaufort_phone_number],"Beaufort, Bluffton, Hilton Head, Summerville, Charlestown, Hardeeville, Yemassee, Myrtle Beach, Pawleys Island, Mount Pleasant, Aynor"
miami,Miami,Miami,US,[miami_branch_name],[miami_locale_name],[miami_region_name],[miami_phone_number],"Miami, Dedley, Doral, Miami Beach, Homestead, Keys, Aventura, Coral Gables, Kendall, Miami Shores"
springfield,Springfield,Springfield,US,[springfield_branch_name],[springfield_locale_name],[springfield_region_name],[springfield_phone_number],"Springfield, Alexandria, Arlington, Ashburn, Burke, Fairfax, Fredericksburg, Leesburg, McLean, Reston, Sterling, Stafford"
stafford,Stafford,Stafford,US,[stafford_branch_name],[stafford_locale_name],[stafford_region_name],[stafford_phone_number],"Springfield, Alexandria, Arlington, Ashburn, Burke, Fairfax, Fredericksburg, Leesburg, McLean, Reston, Sterling, Stafford"
jacksonville,Pensacola,Pensacola,US,[pensacola_branch_name],[pensacola_locale_name],[pensacola_region_name],[pensacola_phone_number],"Pensacola, Panama City, Tallahassee,Albany, GA"
jacksonville,Jacksonville,Jacksonville,US,[jacksonville_branch_name],[jacksonville_locale_name],[jacksonville_region_name],[jacksonville_phone_number],"Jacksonville, St. Augustine, Palm Coast, Lake City, Gainesville, Brunswick GA"
lynchburg,Lynchburg,Lynchburg,US,[lynchburg_branch_name],[lynchburg_locale_name],[lynchburg_region_name],[lynchburg_phone_number],"Lynchburg, Roanoke, Harrisonburg, Blacksburg, Salem, Charlottesville, Christiansburg, Chase City, Clarksville"
richmond,Richmond,Richmond,US,[richmond_branch_name],[richmond_locale_name],[richmond_region_name],[richmond_phone_number],"Richmond, Midlothian, Mechanicsville, Glen Allen, Ashland, Fredericksburg, Petersburg, Tuckahoe"
buffalo,Buffalo,Buffalo,US,[buffalo_branch_name],[buffalo_locale_name],[buffalo_region_name],[buffalo_phone_number],"Buffalo, Amherst, Orchard Park, Cheektowaga, Niagara Falls, West Seneca, Tonawanda, Lockport, Grand Island, Williamsville, Wheatfield"
nashville,Nashville,Nashville,US,[nashville_branch_name],[nashville_locale_name],[nashville_region_name],[nashville_phone_number],"Nashville, Murfreesboro, Brentwood, Franklin, Hendersonville, Goodlettsville, Cookeville, Lebanon, Mount Juliet, Clarksville"
arundel,Arundel,Arundel,US,[arundel_branch_name],[arundel_locale_name],[arundel_region_name],[arundel_phone_number],"Biddeford, Manchester, Porstmouth, Portland, Arundel, Augusta, Lewistown, Kennebunkport, Salem, Nashua, Concord"
cincinnati,Cincinnati,Cincinnati,US,[cincinnati_branch_name],[cincinnati_locale_name],[cincinnati_region_name],[cincinnati_phone_number],"Cincinnati, Dayton, Hebron, Florence, Vandalia, Batavia"
raleigh,Raleigh,Raleigh,US,[raleigh_branch_name],[raleigh_locale_name],[raleigh_region_name],[raleigh_phone_number],"Raleigh, Durham, Chapel Hill, Wake Forest, Greenville, Goldsboro"
norwalk,Norwalk,Norwalk,US,[norwalk_branch_name],[norwalk_locale_name],[norwalk_region_name],[norwalk_phone_number],"Milford, Norwalk, Hartford, New Haven, Bristol, Stamford, Greenwich, West Hartford, Groton, Middletown"
virginabeach,Virginia Beach,Virginia Beach,US,[virginiabeach_branch_name],[virginiabeach_locale_name],[virginiabeach_region_name],[virginiabeach_phone_number],"Virginia Beach, Chesapeake, Suffolk, Norfolk, Hampton, Williamsburg, Newport News, Outer Banks, NC, Elizabeth City, NC, Camden, NC, Hertford, NC, Edenton, NC"
westvirginia,West Virginia,West Virginia,US,[westvirginia_branch_name],[westvirginia_locale_name],[westvirginia_region_name],[westvirginia_phone_number],"West Virginia, Morgantown, Fairmont, Clarksburg, Charleston, Hintington, Beckley, Lewisburg"
burlington,Burlington,Burlington,US,[burlington_branch_name],[burlington_locale_name],[burlington_region_name],[burlington_phone_number],"Burlington, Essex Junction, Colchester, Willistown, Essex, Shelburne, Charlotte, St. Albans, Rutland, Newport, Middlebury"
detroit,Detroit,Detroit,US,[detroit_branch_name],[detroit_locale_name],[detroit_region_name],[detroit_phone_number],"Rochester Hills, Clawson, Birmingham, Rochester, Sterling Heights, Auburn Hills, Berkley"
lansing,Novi,Novi,US,[novi_branch_name],[novi_locale_name],[novi_region_name],[novi_phone_number],"Grand Rapids, Ann Arbor, Lansing, Detroit, Novi, Brighton, Troy, Kalamazoo, Flint, Battle Creek "
greensboro,Greensboro,Greensboro,US,[greensboro_branch_name],[greensboro_locale_name],[greensboro_region_name],[greensboro_phone_number],"Greensboro, High Point, Burlington"
wilmington,Wilmington,Wilmington,US,[wilmington_branch_name],[wilmington_locale_name],[wilmington_region_name],[wilmington_phone_number],"Wilmington, Middletown, Elkton, Hockessin, Greenville, Claymont, Northeast, New Castle"
charlotte,Charlotte,Charlotte,US,[charlotte_branch_name],[charlotte_locale_name],[charlotte_region_name],[charlotte_phone_number],"Charlotte, Concord, Kannapolis, Gastonia, Rock Hill, Indian Trail, Indian Land, Fort Mill, Monroe"
chicago,Chicago,Chicago,US,[chicago_branch_name],[chicago_locale_name],[chicago_region_name],[chicago_phone_number],"Naperville, Joliet, Aurora, Elgin, Waukegan, Kenosha WI, Hammond, "
desplaines,Des Plaines,Des Plaines,US,[desplaines_branch_name],[desplaines_locale_name],[desplaines_region_name],[desplaines_phone_number],"Park Ridge, Mount Prospect, Niles, Elk Grove Village, Glenview, Schiller Park, Morton Grove"
grandisland,Grand Island,Grand Island,US,[grandisland_branch_name],[grandisland_locale_name],[grandisland_region_name],[grandisland_phone_number],"Kearney, Columbus, Norfolk, Hastings, Central City, "
lincoln,Lincoln,Lincoln,US,[lincoln_branch_name],[lincoln_locale_name],[lincoln_region_name],[lincoln_phone_number],"Fremont, Beatrice, Seward, Hickman, Waverly"
omaha,Omaha,Omaha,US,[omaha_branch_name],[omaha_locale_name],[omaha_region_name],[omaha_phone_number],"Papillion, Bellevue, Council Bluffs IA, Green Meadows, Springfield"
siouxcity,Sioux City,Sioux City,US,[siouxcity_branch_name],[siouxcity_locale_name],[siouxcity_region_name],[siouxcity_phone_number],"Sioux City, Aberdeen, Brookings, Watertown, Mitchell, Yankton, Huron, Vermillion, Pierre"
denver,Denver,Denver,US,[denver_branch_name],[denver_locale_name],[denver_region_name],[denver_phone_number],"Boulder, Colorado Springs, Pueblo, Alamosa, Broomfield, Louisville, Evergreen, Conifer, Longmont"
oklahomacity,Oklahoma City,Oklahoma City,US,[oklahomacity_branch_name],[oklahomacity_locale_name],[oklahomacity_region_name],[oklahomacity_phone_number],"Tulsa, Lawton, Moore, Clinton, Shawnee, Stillwater, Ardmore, Muskogee, Broken Arrow"
dallas,Dallas,Dallas,US,[dallas_branch_name],[dallas_locale_name],[dallas_region_name],[dallas_phone_number]," Highland Park, University Park, Southlake, Trophy Club, Coppell, Keller, Flower Mound, Double Oak"
wyoming,Wyoming,Wyoming,US,[wyoming_branch_name],[wyoming_locale_name],[wyoming_region_name],[wyoming_phone_number],"Casper, Rapid City, Fort Collins, Spearfish, Greeley, Loveland, Windsor, Belle Fouche, Gillette, Douglas "
fortworth,Fort Worth,Fort Worth,US,[fortworth_branch_name],[fortworth_locale_name],[fortworth_region_name],[fortworth_phone_number],"Dallas, Tyler, Paris, Corsicana, McKinney, Arlington, Plano, Frisco, Wilmer"
desmoines,Des Moines,Des Moines,US,[desmoines_branch_name],[desmoines_locale_name],[desmoines_region_name],[desmoines_phone_number],"Ames, Fort Dodge, Algona, Humboldt, Clear Lake, Oscela, Webster City, Boone, Jefferson "
kansascity,Kansas CIty,Kansas CIty,US,[kansascity_branch_name],[kansascity_locale_name],[kansascity_region_name],[kansascity_phone_number],"Overland Park, St. Joseph, Leawood, Olathe, Blue Springs, Lees Summit"
daveport,Davenport,Davenport,US,[davenport_branch_name],[davenport_locale_name],[davenport_region_name],[davenport_phone_number],"Cedar Rapids, Coralville, Iowa City, Waterloo, Muscatine, Swisher, Mt. Vernon, Center Point, Lime City, Grinnell  "
springfield,Springfield,Springfield,US,[springfield_branch_name],[springfield_locale_name],[springfield_region_name],[springfield_phone_number],"Joplin, Branson, Ozark, Nixa, Webb City, Neosho, Carthage, Nevada, Mt. Vernon"
minneapolis,Minneapolis,Minneapolis,US,[minneapolis_branch_name],[minneapolis_locale_name],[minneapolis_region_name],[minneapolis_phone_number],Oakdale
arkansas,Arkansas,Arkansas,US,[arkansas_branch_name],[arkansas_locale_name],[arkansas_region_name],[arkansas_phone_number],"LIttle Rock, Texarkana TX, Monroe LA, West Monroe LA, Searcy, Hot Springs, Harrison, Batesville, Conway, Jacksonville"
westarkansas,West Arkansas,West Arkansas,US,[westarkansas_branch_name],[westarkansas_locale_name],[westarkansas_region_name],[westarkansas_phone_number],"Fort Smith, Fayetteville, Rogers, Springdale, Bentonville, Siloam Springs, Alma, Greenwood, Sallisaw"
southernmississippi,Southern Mississippi,Southern Mississippi,US,[southernmississippi_branch_name],[southernmississippi_locale_name],[southernmississippi_region_name],[southernmississippi_phone_number],"Jackson, Gulfport, Biloxi, Pascagoula, Mobile AL, Starkville, Columbus, West Point, Slidell"
stlouis,St Louis,St Louis,US,[stlouis_branch_name],[stlouis_locale_name],[stlouis_region_name],[stlouis_phone_number],"Edwardsville, Fenton, Balwin, Ladue, Wildwood, St. Charles, O'Fallon, Clayton"
memphis,Memphis,Memphis,US,[memphis_branch_name],[memphis_locale_name],[memphis_region_name],[memphis_phone_number],"Southhaven, Oxford, Jackson, Batesville, Greenville"
southeastmissouri,Southeast Missouri,Southeast Missouri,US,[southeastmissouri_branch_name],[southeastmissouri_locale_name],[southeastmissouri_region_name],[southeastmissouri_phone_number],"New Hamburg, Springfield IL, Sikeston, Jackson TN, Cape Girardeau, Popular Bluff, Paducah KY, Decatur IL, Springfield IL"
alabama,Alabama,Alabama,US,[alabama_branch_name],[alabama_locale_name],[alabama_region_name],[alabama_phone_number],"Huntsville, Birmingham, Madison, Montegomery, Decatur, Florence, Albertville, Auburn, Pelham, Guntersville"
indianapolis,Indianaplois,Indianaplois,US,[indianaplois_branch_name],[indianaplois_locale_name],[indianaplois_region_name],[indianaplois_phone_number],"Brownsburg, Avon, Plainfield, Fishers, Camel, Nobesville, Fort Wayne, Muncie, Greenwood"
houston,Houston,Houston,US,[houston_branch_name],[houston_locale_name],[houston_region_name],[houston_phone_number],"Beaumont, Port Arthur, Katy, Orange, Baytown, Channelview, Missouri City, Pearland, Galveston"
sanantonio,San Antonio,San Antonio,US,[sanantonio_branch_name],[sanantonio_locale_name],[sanantonio_region_name],[sanantonio_phone_number],"Austin, Lubbock, Waco, College Station, Corpus Cristi, McAllen, Laredo, San Angelo, San Marcos"
louisville,Louisville,Louisville,US,[louisville_branch_name],[louisville_locale_name],[louisville_region_name],[louisville_phone_number],Louisville
losangeles,Los Angeles,Los Angeles,US,[losangeles_branch_name],[losangeles_locale_name],[losangeles_region_name],[losangeles_phone_number],"Commerce, Santa Monica, Vernon, Huntington Park, Culver City, Beverly Hills,  Calabasas, Anaheim,  "
elmonte,El Monte,El Monte,US,[elmonte_branch_name],[elmonte_locale_name],[elmonte_region_name],[elmonte_phone_number],"Altadena CA, Baldwin Park CA, Whittier CA, Covina CA, Monterey Park CA"
vannuys,Van Nuys,Van Nuys,US,[vannuys_branch_name],[vannuys_locale_name],[vannuys_region_name],[vannuys_phone_number],"Santa Clarita, North Hollywood, Reseda, Sunland, Tarzana, Encino "
riverside,Riverside,Riverside,US,[riverside_branch_name],[riverside_locale_name],[riverside_region_name],[riverside_phone_number],Riverside
thousandpalms,Palm Springs,Palm Springs,US,[palmsprings_branch_name],[palmsprings_locale_name],[palmsprings_region_name],[palmsprings_phone_number],"Palm Springs, Cathedral City, Rancho Mirage, Indian Wells, La Quinta, Indio, Yucca Valley, 29 Palms, Cochella, Palm Desert"
burlingame,San Francisco,San Francisco,US,[sanfrancisco_branch_name],[sanfrancisco_locale_name],[sanfrancisco_region_name],[sanfrancisco_phone_number],"San Francisco, Atherton, Menlo Park, Redwood City, San Mateo, Brisbane"
santaana,Orange County,Orange County,US,[orangecounty_branch_name],[orangecounty_locale_name],[orangecounty_region_name],[orangecounty_phone_number],"Aliso Viejo, Anaheim HIlls, Brea, Buena Park, Huntington Beach, Newport Beach, Torrance, Rancho Santa Margarita"
bakersfield,Bakersfield,Bakersfield,US,[bakersfield_branch_name],[bakersfield_locale_name],[bakersfield_region_name],[bakersfield_phone_number],"Wasco, Delano, Shafter, Arvin, Porterville"
fresno,Fresno,Fresno,US,[fresno_branch_name],[fresno_locale_name],[fresno_region_name],[fresno_phone_number],"Ceres, Clovis, Hanford, Sanger, Selma, Tulare, Visalia"
hayward,Hayward,Hayward,US,[hayward_branch_name],[hayward_locale_name],[hayward_region_name],[hayward_phone_number],"Antioch, Livermore, Fremont, Oakland, Berkeley, Pleasanton, Newark, Richmond, Emeryville"
morganhill,San Jose,San Jose,US,[sanjose_branch_name],[sanjose_locale_name],[sanjose_region_name],[sanjose_phone_number],"Cupertino, Santa Clara, Milipitas, Santa Clairita, Sunnyvale, Los Altos, Campbell, Saratoga, Mountain View "
sacramento,Sacramento,Sacramento,US,[sacramento_branch_name],[sacramento_locale_name],[sacramento_region_name],[sacramento_phone_number],"Roseville, Rocklin, Rancho Cordova, Vacaville, Fairfield, Folsom, Eldorado Hills, Yuba City, Davis, Marysville"
oxnard,Oxnard,Oxnard,US,[oxnard_branch_name],[oxnard_locale_name],[oxnard_region_name],[oxnard_phone_number],"Santa Barbara, Santa Maria, Westlake Village, Simi Valley, Ventura, Agoiura HIlls"
santamaria,Santa Maria,Santa Maria,US,[santamaria_branch_name],[santamaria_locale_name],[santamaria_region_name],[santamaria_phone_number],"Lompoc, Atascadero, Arroyo Grande, Los Osos, San Luis Obispo"
salinas,Salinas,Salinas,US,[salinas_branch_name],[salinas_locale_name],[salinas_region_name],[salinas_phone_number],Salinas
chino,Chino,Chino,US,[chino_branch_name],[chino_locale_name],[chino_region_name],[chino_phone_number],"Cohasset, Berry Creek, Dayton, Paradise, Oroville, Forest Ranch"
