slug,city_name,service_area
dallas,Dallas," Highland Park, University Park, Southlake, Trophy Club, Coppell, Keller, Flower Mound, Double Oak"
wyoming,Wyoming,"Casper, Rapid City, Fort Collins, Spearfish, Greeley, Loveland, Windsor, Belle Fouche, Gillette, Douglas "
fortworth,Fort Worth,"Dallas, Tyler, Paris, Corsicana, McKinney, Arlington, Plano, Frisco, Wilmer"
desmoines,Des Moines,"Ames, Fort Dodge, Algona, Humboldt, Clear Lake, Oscela, Webster City, Boone, Jefferson "
kansascity,Kansas CIty,"Overland Park, St. Joseph, Leawood, Olathe, Blue Springs, Lees Summit"
davenport,Davenport,"St. Paul, Bloomington, Rochester, Edina, Woodbury, Eden Prairie, Eagan, Plymouth "
springfield,Springfield,"Joplin, Branson, Ozark, NIxa, Webb City, Neosho, Carthage, Nevada, Mt. Vernon"
minneapolis,Minneapolis,Oakdale
arkansas,Arkansas,"LIttle Rock, Texarkana, TX, Monroe LA, West Monroe LA, Searcy, Hot Springs, Harrison, Batesville, Conway, Jacksonville"
westarkansas,West Arkansas,"Fort Smith, Fayetteville, Rogers, Springdale, Bentonville, Siloam Springs, Alma, Greenwood, Sallisaw"
southernmississippi,Southern Mississippi,"Jackson, Gulfport, Biloxi, Pascagoula, Mobile AL, Starkville, Columbus, West Point, Slidell"
stlouis,St Louis,"Edwardsville, Fenton, Balwin, Ladue, Wildwood, St. Charles, O'Fallon, Clayton"
memphis,Memphis,"Southhaven, Oxford, Jackson, Batesville, Greenville"
southeastmissouri,Southeast Missouri,"New Hamburg, Springfield IL, Sikeston, Jackson TN, Cape Girardeau, Popular Bluff, Paducah KY, Decatur IL, Springfield IL"
alabama,Alabama,"Huntsville, Birmingham, Madison, Montegomery, Decatur, Florence, Albertville, Auburn, Pelham, Guntersville"
indianapolis,Indianaplois,"Brownsburg, Avon, Plainfield, Fishers, Camel, Nobesville, Fort Wayne, Muncie, Greenwood"
houston,Houston,"Beaumont, Port Arthur, Katy, Orange, Baytown, Channelview, Missouri City, Pearland, Galveston"
sanantonio,San Antonio,"Austin, Lubbock, Waco, College Station, Corpus Cristi, McAllen, Laredo, San Angelo, San Marcos"
louisville,Louisville,Louisville
losangeles,Los Angeles,"Commerce, Santa Monica, Vernon, Huntington Park, Culver City, Beverly HIlls,  Calabasas, Anaheim  "
elmonte,El Monte,"Altadena,CA;Baldwin Park,CA;Whittier,CA;Covina,CA;Monterey Park,CA"
vannuys,Van Nuys,"Santa Clarita, North Hollywood, Reseda, Sunland, Tarzana, Encino "
riverside,Riverside,Riverside
thousandpalms,Palm Springs,"Palm Springs, Cathedral City, Rancho Mirage, Indian Wells, La Quinta, Indio, Yucca Valley, 29 Palms, Cochella, Palm Desert"
burlingame,San Francisco,"San Francisco, Atherton, Menlo Park, Redwood City, San Mateo, Brisbane"
santaana,Orange County,"Aliso Viejo, Anaheim HIlls, Brea, Buena Park, Huntington Beach, Newport Beach, Torrance, Rancho Santa Margarita"
bakersfield,Bakersfield,"Wasco, Delano, Shafter, Arvin, Porterville"
fresno,Fresno,"Ceres, Clovis, Hanford, Sanger, Selma, Tulare, Visalia"
hayward,Hayward,"Antioch, Livermore, Fremont, Oakland, Berkeley, Pleasanton, Newark, Richmond, Emeryville"
sanjose,San Jose,"Cupertino, Santa Clara, Milipitas, Santa Clairita, Sunnyvale, Los Altos, Campbell, Saratoga, Mountain View "
sacramento,Sacramento,"Roseville, Rocklin, Rancho Cordova, Vacaville, Fairfield, Folsom, Eldorado Hills, Yuba City, Davis, Marysville"
oxnard,Oxnard,"Santa Barbara, Santa Maria, Westlake Village, Simi Valley, Ventura, Agoiura HIlls"
santamaria,Santa Maria,"Lompoc, Atascadero, Arroyo Grande, Los Osos, San Luis Obispo"
salinas,Salinas,Salinas
chino,Chino,"Cohasset, Berry Creek, Dayton, Paradise, Oroville, Forest Ranch"
palmdale,Palmdale,"Lancaster, Quartz Hill, Del Sur, Fairmont, Antelope Acres, Redman, Sun Village "
